,PosSite_Di,NegSite_Di,Local-Stru,Local-Quat,Local-Qu_1,Local-Qu_2,Quaternary,Quaterna_1,GeodeticSt,Quaterna_2,FaultRecen,FaultSlipD,Earthquake,HorizGravi,HorizMagne,GravityDen,MagneticDe,Heatflow,Geochemist,Local-St_1,Local-Qu_3,Local-Qu_4,Local-Qu_5,Quaterna_3,HorizGra_1,Geodetic_1,Quaterna_4,FaultRec_1,Earthqua_1,Heatflow_E,HorizGra_2,HorizMag_1,Hillshade-,DEM-30m,Fairway
633,5939.67252487,994.46004485,0.0,0.0,0.0,0.0,0,26,0.88561,-2.1029899,2.4943099,0.759358,1.85431,0.0029257,1.05e-05,21,22,64.9027023,-9999.0,0.0,0.0,0.0,0.0,0.1,0.385308,0.773138,0.531813,0.269331,0.354649,18.9022999,0.713014,2,180,1440,41.0665016
634,5756.36422797,760.24354115,0.0,0.0,0.0,0.0,0,26,0.88561,-2.1029899,2.4943099,0.759411,1.85431,0.0030641,1.05e-05,20,21,64.9570999,-9999.0,0.0,0.0,0.0,0.0,0.1,0.385308,0.772932,0.522869,0.264651,0.354649,18.9207993,0.840338,2,179,1438,41.0665016
635,5578.23883922,540.36071556,0.0,0.0,0.0,0.0,0,25,0.88561,-2.07781,2.48453,0.759105,1.85431,0.0032013,1.05e-05,19,21,65.0140991,-9999.0,0.0,0.0,0.0,0.0,0.1,0.414508,0.772726,0.514161,0.260091,0.354649,18.9414997,0.814873,2,181,1438,41.3445015
636,5405.80872485,361.95188076,0.6,0.9,0.3,0.5,0,24,0.88561,-2.07781,2.48453,0.758851,1.8481899,0.0033512,1.05e-05,18,21,65.0735016,-9999.0,0.15,0.18,0.3,0.125,0.1,0.414508,0.77252,0.505699,0.255659,0.355062,18.9647007,0.789409,2,180,1438,49.1865005
637,5239.6361889,308.26713261,0.6,0.9,0.3,0.5,0,23,0.88561,-2.07781,2.48453,0.758514,1.85431,0.0035283,1.05e-05,16,20,65.1352997,-9999.0,0.15,0.18,0.3,0.125,0.1,0.4462,0.772313,0.497497,0.251359,0.354649,18.9902992,0.802141,2,180,1439,49.414299
638,5080.33530531,429.00825879,0.6,0.9,0.3,0.5,0,22,0.88561,-2.07781,2.48453,0.758181,1.8481899,0.0037443,1.05e-05,15,20,65.1992035,-9999.0,0.15,0.18,0.3,0.125,0.1,0.480186,0.772106,0.489567,0.2472,0.355062,19.0184002,0.865803,2,180,1439,49.6357994
639,4928.57243395,630.92594429,0.6,0.9,0.3,0.5,0,21,0.88561,-2.04668,2.4725299,0.757687,1.85431,0.004004,1.04e-05,14,20,65.2654037,-9999.0,0.15,0.18,0.3,0.125,0.1,0.480186,0.771899,0.481923,0.243188,0.354649,19.0491009,0.865803,2,181,1441,51.0024986
640,4785.06485421,858.53771509,0.6,0.9,0.3,0.5,0,20,0.88561,-2.04668,2.4725299,0.75689,1.86034,0.0043017,1.03e-05,12,19,65.3335037,-9999.0,0.15,0.18,0.3,0.125,0.1,0.514989,0.771691,0.47458,0.239332,0.354241,19.0821991,0.865803,2,180,1441,51.2496986
1624,11295.0838243,1015.61420201,0.0,0.0,0.0,0.0,0,51,0.864744,-2.38411,2.61114,0.743178,1.87216,0.0025609,1.33e-05,21,18,64.3916016,-9999.0,0.0,0.0,0.0,0.0,0.1,0.29233,0.776098,0.788923,0.403113,0.353442,19.0167007,0.713014,2,180,1436,38.7472
1625,11059.3823526,945.53780776,0.0,0.0,0.0,0.0,0,50,0.864744,-2.38411,2.61114,0.743394,1.87216,0.0024004,1.34e-05,22,17,64.3764038,-9999.0,0.0,0.0,0.0,0.0,0.1,0.264507,0.776121,0.788923,0.403113,0.353442,18.9885998,0.700282,2,180,1436,38.5484009
